genus_txid	genus_name	upper_txid	upper_name
332102	Fluviicola	976	Bacteroidota
336276	Olleya	976	Bacteroidota
3374594	Halosquirtibacter	976	Bacteroidota
3400333	Thalassobellus	976	Bacteroidota
3400365	Allotamlana	976	Bacteroidota
3400368	Pseudotamlana	976	Bacteroidota
343334	Costertonia	976	Bacteroidota
3457289	Candidatus Marifrigoribacter	976	Bacteroidota
358023	Lutibacter	976	Bacteroidota
363408	Nonlabens	976	Bacteroidota
365032	Aureispira	976	Bacteroidota
369400	Flaviramulus	976	Bacteroidota
379070	Gilvibacter	976	Bacteroidota
387658	Marixanthomonas	976	Bacteroidota
390846	Echinicola	976	Bacteroidota
393005	Tamlana	976	Bacteroidota
444051	Mesoflavibacter	976	Bacteroidota
444459	Flagellimonas	976	Bacteroidota
449810	Lutimonas	976	Bacteroidota
49277	Psychroserpens	976	Bacteroidota
527198	Mariniflexile	976	Bacteroidota
52959	Polaribacter	976	Bacteroidota
59740	Persicobacter	976	Bacteroidota
649461	Lacibacter	976	Bacteroidota
70994	Lewinella	976	Bacteroidota
866673	Marinifilum	976	Bacteroidota
909656	Phocaeicola	976	Bacteroidota
1101	Prosthecochloris	2	Bacteria
1114981	Piscinibacter	2	Bacteria
1234	Nitrospira	2	Bacteria
12916	Acidovorax	2	Bacteria
1389453	Candidatus Actinomarina	2	Bacteria
1400386	Bythopirellula	2	Bacteria
1434032	Pontimonas	2	Bacteria
146784	Bacteriovorax	2	Bacteria
149698	Massilia	2	Bacteria
1579505	Rubripirellula	2	Bacteria
1579506	Roseimaritima	2	Bacteria
1649264	Desulfoconvexum	2	Bacteria
1649453	Gimesia	2	Bacteria
1649490	Rubinisphaera	2	Bacteria
1716	Corynebacterium	2	Bacteria
1763	Mycobacterium	2	Bacteria
1827	Rhodococcus	2	Bacteria
1866885	Mycolicibacterium	2	Bacteria
1891669	Candidatus Neptunichlamydia	2	Bacteria
1912216	Cutibacterium	2	Bacteria
1936111	Fuerstiella	2	Bacteria
2005380	Mariniblastus	2	Bacteria
202746	Sulfurimonas	2	Bacteria
213485	Micavibrio	2	Bacteria
2289	Desulfobacter	2	Bacteria
2299	Desulfosarcina	2	Bacteria
2321111	Aliarcobacter	2	Bacteria
